Date,Open,High,Low,Close,Volume
2021-9-30,456,464.6,453.8,461.4,17335451
2021-9-29,461.6,465,450.2,465,18250450
2021-9-28,467,476.2,464.6,469.8,20947276
2021-9-27,459,473,455.2,464.6,17966998
2021-9-24,461.4,473.4,456.2,460.2,16656914
2021-9-23,460.2,469.6,456.4,463.2,22210868
2021-9-21,446,453.8,443.2,450,16556875
2021-9-20,456.6,457.4,448,454.2,15513224
2021-9-17,445.8,467.6,445.2,461.8,23982628
2021-9-16,446.8,454.8,445,451,24519868
2021-9-15,458,464,451.2,453.4,36166267
2021-9-14,476.4,482.8,468.8,472.8,19905281
2021-9-13,480,481.2,471,478,27815639
2021-9-10,491.2,494.8,481.2,490,35671160
2021-9-9,509,511.5,479,480,54090872
